genbank_accession,gisaid_epi_isl,Originating Lab,Submitting Lab,Author
,EPI_ISL_447839,"Medical Microbiology Unit, Department for Laboratory Medicine, Drammen Hospital, Vestre Viken Health Trust,","Norwegian Institute of Public Health, Department of Virology",Kathrine Stene-Johansen et al
,EPI_ISL_420076,Institut Pasteur Dakar,Institut Pasteur de Dakar,Ndongo Dia et al
,EPI_ISL_426422,IN State Department of Health Laboratory Services,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_426423,IN State Department of Health Laboratory Services,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_452135,IN State Department of Health Laboratory Services,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_437360,"Minnesota Department of Health, Public Health Laboratory","Minnesota Department of Health, Public Health Laboratory",Matt Plumb et al
,EPI_ISL_426424,IN State Department of Health Laboratory Services,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_454422,Maryland Department of Health Laboratories Administration,Maryland Department of Health Laboratories Administration,MDH Laboratories Administration et al
,EPI_ISL_426428,NC State Laboratory of Public Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_424915,MA State Public Health Laboratory,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Ying Tao et al B
,EPI_ISL_417878,"Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava; Public Health Authority of the Slovak Republic, Bratislava","Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava; Comenius University Science Park, Bratislava",Monika Slávikova et al
,EPI_ISL_424872,NC State Laboratory of Public Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_457784,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_457781,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_438223,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_457752,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_437690,Laboratory for Urgent Response to Biological Threats,Institut Pasteur CIBU /ERI,V. Caro et al
,EPI_ISL_452126,NC State Laboratory of Public Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Jing Zhang et al A
,EPI_ISL_424873,NC State Laboratory of Public Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_424911,MA State Public Health Laboratory,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Ying Tao et al B
,EPI_ISL_424867,KS Health and Environmental Laboratories,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_424846,MA State Public Health Laboratory,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_414626,,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Mélnie Albert et al (https://dx.doi.org/10.1101/2020.04.24.059576)
,EPI_ISL_424845,MA State Public Health Laboratory,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_424843,MA State Public Health Laboratory,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_417440,"Viral Respiratory Lab, National Institute for Biomedical Research (INRB)","Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)",Placide Mbala-Kingebeni et al
,EPI_ISL_457821,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_457823,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_414647,"Viral Respiratory Lab, National Institute for Biomedical Research (INRB)","Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)",Placide Mbala-Kingebeni et al
,EPI_ISL_419706,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_419710,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_429969,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_426454,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_457812,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_426465,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_429983,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_457754,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_429974,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_426456,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_419256,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_426458,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_429978,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_429979,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_429972,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_429975,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_417850,The National University Hospital of Iceland,deCODE genetics,Daniel F Gudbjartsson et al (https://dx.doi.org/10.1056/NEJMoa2006100)
,EPI_ISL_427290,The Ohio State University,The Ohio State University-James Molecular Lab at Polaris,Huolin Tu et al
,EPI_ISL_447286,"Microbiology Division, Barzilai University Medical Center",Stern Lab,Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
,EPI_ISL_419581,"Laboratoire National de Santé, Microbiology, Virology","Laboratoire National de Santé, Microbiology, Epidemiology and Microbial Genomics",Anke Wienecke-Baldacchino et al
,EPI_ISL_434550,Puerto Rico Department of Health,"Centers for Disease Control and Prevention, Dengue Branch",Gilberto A. Santiago et al
,EPI_ISL_438231,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_438228,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_434748,Houston Methodist Hospital,Houston Methodist Hospital,S. Wesley Long et al (https://dx.doi.org/10.1101/2020.05.01.072652)
,EPI_ISL_416478,"R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.","R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.",Marine Murtskhvaladze et al
,EPI_ISL_451416,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al A
,EPI_ISL_452117,NJ Public Health and Environmental Laboratories,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_434588,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_454432,Maryland Department of Health Laboratories Administration,Maryland Department of Health Laboratories Administration,MDH Laboratories Administration et al
,EPI_ISL_414625,Centre Hospitalier Régional Universitaire de Nantes Laboratoire de Virologie,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Mélnie Albert et al (https://dx.doi.org/10.1101/2020.04.24.059576)
,EPI_ISL_426114,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_450540,Utah Public Health Laboratory,Utah Public Health Laboratory,Erin Young et al
,EPI_ISL_457814,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_418963,Utah Public Health Laboratory,Utah Public Health Laboratory,Erin Young et al
,EPI_ISL_452120,Georgia Department of Health,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Jing Zhang et al A
,EPI_ISL_430326,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al A
,EPI_ISL_428924,"State Research Center of Virology and Biotechnology VECTOR, Department of Collection of Microorganisms","State Research Center of Virology and Biotechnology VECTOR, Department of Collection of Microorganisms",Sergey A. Bodnev et al
,EPI_ISL_426068,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_435700,"National Public Health Laboratory, National Centre for Infectious Diseases","National Public Health Laboratory, National Centre for Infectious Diseases",Mak Tze Minn et al
,EPI_ISL_444643,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al A
,EPI_ISL_437515,Alaska State Virology Laboratory,Alaska State Virology Laboratory,Jack Chen et al
,EPI_ISL_434168,Washington State Department of Health,Seattle Flu Study,Chu et al et al A
,EPI_ISL_437981,"Institut für Virologie am Department für Hygiene, Mikrobiologie und Public Health","Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",Alexandra Popa et al A (https://www.biorxiv.org/content/10.1101/2020.07.15.204339v1)
,EPI_ISL_436965,"Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Copenhagen, Denmark, Artillerivej 5, 2300 Copenahgen S","Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark",Rasmus Kirkegaard et al
,EPI_ISL_434540,EBAIS Concepción Norte,"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud",Duarte et al
,EPI_ISL_417359,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al B (https://doi.dx.org/10.1101/2020.04.02.20051417)
,EPI_ISL_420812,Utah Public Health Laboratory,Utah Public Health Laboratory,Erin Young et al
,EPI_ISL_438242,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_457759,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_450797,Jamaica Ministry of Health and Wellness,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_437095,Latvijas Infektoloģijas centrs,Latvian Biomedical Research and Study Centre,Ivars Silamiķelis et al
,EPI_ISL_436041,DC Public Health Lab Dept of Forensic Science,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Ying Tao et al B
,EPI_ISL_455361,"Emory Molecular Diagnostics Laboratory, Emory Healthcare","Piantadosi Lab, Emory Department of Pathology",Ahmed Babiker et al
,EPI_ISL_450800,AR Dept. of Health-Public Health Lab,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_427166,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_450589,"Michigan Department of Health and Human Services, Bureau of Laboratories","Michigan Department of Health and Human Services, Bureau of Laboratories",Blankenship HM et al
,EPI_ISL_420576,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al B (https://dx.doi.org/10.1101/2020.04.15.20064931)
,EPI_ISL_457797,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_438233,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_457791,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_457795,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_445286,HOSPITAL HANGA ROA,Instituto de Salud Publica de Chile,Andrés E Castillo et al
,EPI_ISL_438235,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_426078,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_428877,"State Research Center of Virology and Biotechnology VECTOR, Department of Collection of Microorganisms","State Research Center of Virology and Biotechnology VECTOR, Department of Collection of Microorganisms",Sergey A. Bodnev et al
,EPI_ISL_437229,"Max von Pettenkofer Institute, Virology, National Reference Center for Retroviruses, LMU München","Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich",Max Muenchhoff et al
,EPI_ISL_435123,Mohammed Bin Rashid University of Medicine and Health Sciences,Al Jalila Genomics Center,Ahmad Abou Tayoun et al (https://dx.doi.org/10.1101/2020.05.06.080606)
,EPI_ISL_431019,Alaska State Virology Laboratory,Alaska State Virology Laboratory,Jack Chen et al
,EPI_ISL_421279,"Clinical Diagnostics Laboratory, Diagnostic & Experimental Pathology, Lilly Research Laboratories","Clinical Diagnostics Laboratory, Diagnostic & Experimental Pathology, Lilly Research Laboratories",Tim Holzer et al
,EPI_ISL_434690,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_447407,"Clinical Virology Unit, Hadassah Hebrew University Medical Center",Stern Lab,Stern Lab et al (https://dx.doi.org/10.1101/2020.05.21.20104521)
,EPI_ISL_457809,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_426434,"PA Department of Health, Bureau of Laboratories","Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_437926,"Institut für Virologie am Department für Hygiene, Mikrobiologie und Public Health","Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",Alexandra Popa et al A (https://www.biorxiv.org/content/10.1101/2020.07.15.204339v1)
,EPI_ISL_451422,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al A
,EPI_ISL_455440,"1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College; 3. Narodowy Instytut Zdrowia Publicznego – Państwowy Zakład Higieny (NIZP-PZH)","1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College; 3. Narodowy Instytut Zdrowia Publicznego – Państwowy Zakład Higieny (NIZP-PZH).",Katarzyna Pancer et al
,EPI_ISL_434689,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_447059,"Michigan Department of Health and Human Services, Bureau of Laboratories","Michigan Department of Health and Human Services, Bureau of Laboratories",Blankenship HM et al
,EPI_ISL_427211,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_436870,"Michigan Department of Health and Human Services, Bureau of Laboratories","Michigan Department of Health and Human Services, Bureau of Laboratories",Blankenship HM et al
,EPI_ISL_428905,"State Research Center of Virology and Biotechnology VECTOR, Department of Collection of Microorganisms","State Research Center of Virology and Biotechnology VECTOR, Department of Collection of Microorganisms",Sergey A. Bodnev et al
,EPI_ISL_438244,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_457788,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_436042,DC Public Health Lab Dept of Forensic Science,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Ying Tao et al B
,EPI_ISL_457818,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_436467,UPMC Clinical Laboratory,"Microbial Genome Sequencing Center, Microbial Genomic Epidemiological Laboratory",Dan Snyder et al
,EPI_ISL_422464,Gundersen Molecular Diagnostics Laboratory,Kabara Cancer Research Institute,Craig S. Richmond et al (https://www.medrxiv.org/content/10.1101/2020.06.08.20125534v1)
,EPI_ISL_435129,Mohammed Bin Rashid University of Medicine and Health Sciences,Al Jalila Genomics Center,Ahmad Abou Tayoun et al (https://dx.doi.org/10.1101/2020.05.06.080606)
,EPI_ISL_454446,Halmstad klinisk mikrobiologi,The Public Health Agency of Sweden,Anna-Malin Linde et al
,EPI_ISL_457765,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_457817,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_438243,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_457757,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_419670,"Center for Virology, Medical University of Vienna","Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences",Alexandra Popa et al A (https://www.biorxiv.org/content/10.1101/2020.07.15.204339v1)
,EPI_ISL_420018,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_457770,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_456143,Instituto Nacional de Salud - Unidad de Secuenciación y Análisis Genómico,"Instituto Nacional de Salud, Universidad Cooperativa de Colombia, Instituto Alexander von Humboldt, Imperial College-London, London School of Hygiene & Tropical Medicine",Katherine Laiton-Donato et al (https://dx.doi.org/10.1101/2020.06.02.20120782)
,EPI_ISL_444681,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al A
,EPI_ISL_434688,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_456058,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al A
,EPI_ISL_420312,"Akershus University Hospital, Department for Microbiology and Infectious Disease Control","Norwegian Institute of Public Health, Department of Virology",Kathrine Stene-Johansen et al
,EPI_ISL_431017,Alaska State Virology Laboratory,Alaska State Virology Laboratory,Jack Chen et al
,EPI_ISL_420072,Institut Pasteur Dakar,Institut Pasteur de Dakar,Ndongo Dia et al
,EPI_ISL_418184,Gundersen Molecular Diagnostics Laboratory,Kabara Cancer Research Institute,Craig S. Richmond et al (https://www.medrxiv.org/content/10.1101/2020.06.08.20125534v1)
,EPI_ISL_429121,Klinisk mikrobiologi och vardhygien Halmstad,The Public Health Agency of Sweden,Arne Kotz et al
,EPI_ISL_457751,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_429015,UCSF Clinical Microbiology Laboratory,Chan-Zuckerberg Biohub,CZB Cliahub Consortium et al
,EPI_ISL_437434,Bozeman Water Reclamation Facility,"Wiedenheft lab, Montana State University",Artem Nemudryi et al (http://medrxiv.org/lookup/doi/10.1101/2020.04.15.20066746)
,EPI_ISL_457808,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_457787,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_436043,DC Public Health Lab Dept of Forensic Science,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Ying Tao et al B
,EPI_ISL_457816,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_430942,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_426070,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_426466,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_426457,Virginia DCLS,Virginia DCLS,Virginia DCLS et al
,EPI_ISL_436040,DC Public Health Lab Dept of Forensic Science,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Ying Tao et al B
,EPI_ISL_436072,NYC Department of Health and Mental Hygiene,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Ying Tao et al B
,EPI_ISL_436056,NYC Department of Health and Mental Hygiene,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Ying Tao et al B
,EPI_ISL_415159,"KU Leuven, Clinical and Epidemiological Virology","KU Leuven, Clinical and Epidemiological Virology",Bert Vanmechelen et al (https://dx.doi.org/10.1101/2020.05.05.078758)
,EPI_ISL_455716,National Hospital of Tropical Diseases,"Oxford University Clinical Research Unit, Hanoi, Vietnam",Nguyen Thi Tam et al
,EPI_ISL_455717,National Hospital of Tropical Diseases,"Oxford University Clinical Research Unit, Hanoi, Vietnam",Nguyen Thi Tam et al
,EPI_ISL_444655,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al A
,EPI_ISL_429992,Biolab Diagnostic Laboratories,Andersen lab at Scripps Research,Issa Abu-Dayyeh et al
,EPI_ISL_457799,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_420037,NIC Viral Respiratory Unit - Institut Pasteur of Algeria,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Mélanie Albert et al C
,EPI_ISL_437689,Laboratory for Urgent Response to Biological Threats,Institut Pasteur CIBU / ERI,V. Caro et al
,EPI_ISL_418241,NIC Viral Respiratory Unit - Institut Pasteur of Algeria,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Mélanie Albert et al C
,EPI_ISL_418242,NIC Viral Respiratory Unit - Institut Pasteur of Algeria,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Mélanie Albert et al C
,EPI_ISL_454426,Maryland Department of Health Laboratories Administration,Maryland Department of Health Laboratories Administration,MDH Laboratories Administration et al
,EPI_ISL_457764,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_457806,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_438226,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_418206,Institut Pasteur Dakar,Institut Pasteur de Dakar,Ndongo Dia et al
,EPI_ISL_420792,NH Department of Health and Human Services Public Health Labs,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_420791,NH Department of Health and Human Services Public Health Labs,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Krista Queen et al A
,EPI_ISL_418207,Institut Pasteur Dakar,Institut Pasteur de Dakar,Ndongo Dia et al
,EPI_ISL_451827,Viollier AG,"Department of Biosystems Science and Engineering, ETH Zürich",Christian Beisel et al
,EPI_ISL_424877,NH Dept. of Health and Human Services Public Health Labs,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Yan Li et al B
,EPI_ISL_457822,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,MT534285.1,,,unknown
,EPI_ISL_426884,Motol University Hospital,Institute of Applied Biotechnologies a.s.,Petr Brož et al
,EPI_ISL_426887,Motol University Hospital,Institute of Applied Biotechnologies a.s.,Petr Brož et al
,EPI_ISL_443300,Cabinet Médical,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Mélanie Albert et al C
,EPI_ISL_438239,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_434586,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_426128,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_427607,NewYork-Presbyterian & Mason Lab,Mason Lab,Daniel J. Butler et al (https://dx.doi.org/10.1101/2020.04.20.048066)
,EPI_ISL_418041,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_427592,NewYork-Presbyterian & Mason Lab,Mason Lab,Daniel J. Butler et al (https://dx.doi.org/10.1101/2020.04.20.048066)
,EPI_ISL_429129,Laboratoriemedicin,The Public Health Agency of Sweden,Olov Svartstrom et al
,EPI_ISL_421728,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al B (https://dx.doi.org/10.1101/2020.04.15.20064931)
,EPI_ISL_436079,NYC Department of Health and Mental Hygiene,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",Ying Tao et al B
,EPI_ISL_445119,Robert Garry lab,Andersen lab at Scripps Research,Allison Smither et al
,EPI_ISL_430944,UW Virology Lab,UW Virology Lab,Pavitra Roychoudhury et al A
,EPI_ISL_450768,"Minnesota Department of Health, Public Health Laboratory","Minnesota Department of Health, Public Health Laboratory",Matt Plumb et al
,EPI_ISL_419702,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al B (https://dx.doi.org/10.1101/2020.04.15.20064931)
,EPI_ISL_454434,Maryland Department of Health Laboratories Administration,Maryland Department of Health Laboratories Administration,MDH Laboratories Administration et al
,EPI_ISL_438245,Johns Hopkins Hospital Department of Pathology,Johns Hopkins Hospital Department of Pathology,Peter M. Thielen et al
,EPI_ISL_435483,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al A
,EPI_ISL_436472,UPMC Clinical Laboratory,"Microbial Genome Sequencing Center, Microbial Genomic Epidemiological Laboratory",Dan Snyder et al
,EPI_ISL_444780,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al A
,EPI_ISL_444531,Northwestern Memorial Hospital,Ozer Lab,Ramon Lorenzo-Redondo et al (https://dx.doi.org/10.1101/2020.05.19.20107144)
,EPI_ISL_420590,NYU Langone Health,"Departments of Pathology and Medicine, New York University School of Medicine",Maria Aguero-Rosenfeld et al B (https://dx.doi.org/10.1101/2020.04.15.20064931)
